"constituency_name","polling_station_code","polling_station_name","votes_cast","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","winner"
"MWINGI NORTH","15067033521201","KYUGA PRI SCH",180,95,12,64,3,"Malombe"
"MWINGI NORTH","15067033521301","MUKURUNI FEEDER SCH",169,99,8,61,0,"Malombe"
"MWINGI NORTH","15067033521401","NTHANGANI PRI SCH",296,60,9,224,0,"Musila"
"MWINGI NORTH","15067033521501","CIATUNGU PRI SCH",242,203,8,27,3,"Malombe"
"MWINGI NORTH","15067033521601","KANYENGYA PRI SCH",299,243,9,41,4,"Malombe"
"MWINGI NORTH","15067033521701","KARUNDU NURSERY SCHOOL",185,126,12,47,0,"Malombe"
"MWINGI WEST","15068033600101","MBAU PRIMARY SCHOOL",159,26,4,128,0,"Musila"
"MWINGI WEST","15068033600201","KYOME PRIMARY SCHOOL",253,32,8,206,1,"Musila"
"MWINGI WEST","15068033600202","KYOME PRIMARY SCHOOL",258,24,4,226,0,"Musila"
"MWINGI WEST","15068033600301","NDALUNI PRIMARY SCHOOL",286,67,6,208,1,"Musila"
"MWINGI WEST","15068033600401","KATHITA PRIMARY SCHOOL",40,13,0,27,0,"Musila"
"MWINGI WEST","15068033600501","SYOMUNG'ELE PRIMARY SCHOOL",381,48,3,324,0,"Musila"
"MWINGI WEST","15068033600601","KITUMBI PRIMARY SCHOOL",328,63,2,259,1,"Musila"
"MWINGI WEST","15068033600701","KANYEKINI PRIMARY SCHOOL",180,43,3,133,1,"Musila"
"MWINGI WEST","15068033600801","MUUKUNI PRIMARY SCHOOL",219,17,1,195,0,"Musila"
"MWINGI WEST","15068033600901","THOKOA PRIMARY SCHOOL",412,40,6,362,1,"Musila"
"MWINGI WEST","15068033600902","THOKOA PRIMARY SCHOOL",403,41,5,349,0,"Musila"
"MWINGI WEST","15068033601001","TUMILA PRIMARY SCHOOL",171,27,0,142,0,"Musila"
"MWINGI WEST","15068033601101","MUSUANI PRIMARY SCHOOL",368,47,4,311,2,"Musila"
"MWINGI WEST","15068033601102","MUSUANI PRIMARY SCHOOL",348,46,4,295,0,"Musila"
"MWINGI WEST","15068033601201","WIKITOO PRIMARY SCHOOL",118,23,7,88,0,"Musila"
"MWINGI WEST","15068033601301","KITHAMBA NGII NURSARY SCHOOL",116,33,5,75,1,"Musila"
"MWINGI WEST","15068033601401","YENZUVA PRIMARY SCHOOL",330,76,8,244,0,"Musila"
"MWINGI WEST","15068033601501","MAVUI PRIMARY SCHOOL",235,43,12,179,1,"Musila"
"MWINGI WEST","15068033601601","KASAVINI PRIMARY SCHOOL",119,25,4,89,0,"Musila"
"MWINGI WEST","15068033601701","THAANA NZAU PRIMARY SCHOOL",207,107,3,96,0,"Malombe"
"MWINGI WEST","15068033601801","NZULI SECONDARY SCHOOL",47,7,2,38,0,"Musila"
"MWINGI WEST","15068033601901","KYUSYANI PRIMARY SCHOOL",316,46,1,265,0,"Musila"
"MWINGI WEST","15068033602001","KYANGUNGI PRIMARY SCHOOL",132,17,3,112,0,"Musila"
"MWINGI WEST","15068033602101","MULULINI PRIMARY SCHOOL",97,29,2,66,0,"Musila"
"MWINGI WEST","15068033602201","WINZYEEI PRIMARY SCHOOL",344,128,10,204,2,"Musila"
"MWINGI WEST","15068033602301","WALALAWA NURSARY SCHOOL",85,19,1,50,1,"Musila"
"MWINGI WEST","15068033602401","WIKIVUVWA PRIMARY SCHOOL",184,41,1,141,1,"Musila"
"MWINGI WEST","15068033602501","MASAANI PRIMARY SCHOOL",72,23,2,47,0,"Musila"
"MWINGI WEST","15068033602601","ITHENZE PRIMARY SCHOOL",108,53,3,51,1,"Malombe"
"MWINGI WEST","15068033602701","KAMUTEKEO PRIMARY SCHOOL",114,42,3,68,0,"Musila"
"MWINGI WEST","15068033602801","KIUNDUANI NURSARY SCHOOL",159,60,2,94,0,"Musila"
"MWINGI WEST","15068033602901","MBAUNZO NURSARY SCHOOL",62,15,3,44,0,"Musila"
"MWINGI WEST","15068033603001","KAVAINI PRIMARY SCHOOL",163,51,6,105,1,"Musila"
"MWINGI WEST","15068033603101","KILELA PRIMARY SCHOOL",58,4,1,52,0,"Musila"
"MWINGI WEST","15068033603201","SYIMUU PRIMARY SCHOOL",122,59,2,59,0,"Malombe"
"MWINGI WEST","15068033603301","KANYAA PRIMARY SCHOOL",209,42,6,160,0,"Musila"
"MWINGI WEST","15068033603302","KANYAA PRIMARY SCHOOL",218,34,3,174,2,"Musila"
